gameId,gameDateTimeEst,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber,home_gameId,home_teamId,home_team_rolling_assists,home_team_rolling_blocks,home_team_rolling_steals,home_team_rolling_fieldGoalsPercentage,home_team_rolling_threePointersPercentage,home_team_rolling_freeThrowsPercentage,home_team_rolling_reboundsTotal,home_team_rolling_turnovers,home_team_rolling_plusMinusPoints,home_team_rolling_pointsInThePaint,away_gameId,away_teamId,away_team_rolling_assists,away_team_rolling_blocks,away_team_rolling_steals,away_team_rolling_fieldGoalsPercentage,away_team_rolling_threePointersPercentage,away_team_rolling_freeThrowsPercentage,away_team_rolling_reboundsTotal,away_team_rolling_turnovers,away_team_rolling_plusMinusPoints,away_team_rolling_pointsInThePaint
22400002,2024-11-12 19:00:00+00:00,Detroit,Pistons,1610612765,Miami,Heat,1610612748,123,121,1610612765,Regular Season,17806.0,624.0,Emirates NBA Cup,East Group B,0.0,22400002,1610612765,24.1,6.1,5.1,0.46909999999999996,0.3446,0.739,46.6,16.7,-2.2,47.6,22400002,1610612748,25.8,4.4,10.1,0.44279999999999997,0.3948,0.744,42.8,12.6,-0.3,43.6
22400001,2024-11-12 19:00:00+00:00,Boston,Celtics,1610612738,Atlanta,Hawks,1610612737,116,117,1610612737,Regular Season,19156.0,17.0,Emirates NBA Cup,East Group C,0.0,22400001,1610612738,23.0,4.9,8.1,0.445,0.34929999999999994,0.8195000000000002,43.8,12.4,9.3,41.6,22400001,1610612737,28.3,4.9,9.9,0.4626999999999999,0.3487,0.7957,42.3,14.9,-6.5,53.8
22400003,2024-11-12 19:00:00+00:00,Orlando,Magic,1610612753,Charlotte,Hornets,1610612766,114,89,1610612753,Regular Season,17541.0,1000125.0,Emirates NBA Cup,East Group A,0.0,22400003,1610612753,24.4,5.8,8.7,0.44509999999999994,0.2969,0.7815000000000001,41.6,14.4,0.0,48.0,22400003,1610612766,22.3,5.0,7.4,0.4325,0.35140000000000005,0.7788999999999999,46.0,15.1,-3.0,41.4
22400004,2024-11-12 19:30:00+00:00,Philadelphia,76ers,1610612755,New York,Knicks,1610612752,99,111,1610612752,Regular Season,19758.0,419.0,Emirates NBA Cup,East Group A,0.0,22400004,1610612755,20.7,3.4,8.6,0.43010000000000004,0.30569999999999997,0.7434000000000001,40.6,14.2,-8.3,46.0,22400004,1610612752,25.1,3.8,6.9,0.48929999999999996,0.37229999999999996,0.8005999999999999,41.2,11.6,2.8,48.4
22400005,2024-11-12 20:00:00+00:00,Milwaukee,Bucks,1610612749,Toronto,Raptors,1610612761,99,85,1610612749,Regular Season,17341.0,642.0,Emirates NBA Cup,East Group B,0.0,22400005,1610612749,21.5,5.0,6.5,0.47540000000000004,0.35480000000000006,0.7102999999999999,43.4,13.3,-5.1,45.4,22400005,1610612761,30.2,4.9,8.2,0.4725,0.3227,0.7408,44.4,15.5,-5.2,60.2
22400006,2024-11-12 21:00:00+00:00,Utah,Jazz,1610612762,Phoenix,Suns,1610612756,112,120,1610612756,Regular Season,18175.0,1000106.0,Emirates NBA Cup,West Group B,0.0,22400006,1610612762,22.8,6.2,6.8,0.41319999999999996,0.3082,0.8031,45.5,18.6,-16.3,43.2,22400006,1610612756,27.4,5.5,7.4,0.4728,0.37720000000000004,0.7950999999999999,44.5,13.2,2.1,41.6
22400007,2024-11-12 22:00:00+00:00,Golden State,Warriors,1610612744,Dallas,Mavericks,1610612742,120,117,1610612744,Regular Season,18064.0,1000011.0,Emirates NBA Cup,West Group C,0.0,22400007,1610612744,30.2,5.7,9.6,0.4789,0.39449999999999996,0.7424999999999999,48.2,13.3,11.9,50.0,22400007,1610612742,25.6,4.6,7.7,0.4746,0.34559999999999996,0.768,44.2,11.1,4.0,52.2
22400008,2024-11-12 22:00:00+00:00,Portland,Trail Blazers,1610612757,Minnesota,Timberwolves,1610612750,122,108,1610612757,Regular Season,16880.0,51.0,Emirates NBA Cup,West Group A,0.0,22400008,1610612757,20.6,5.7,8.5,0.4338,0.3073,0.7572,44.3,15.3,-8.6,51.6,22400008,1610612750,26.4,4.8,7.2,0.47840000000000005,0.39320000000000005,0.7903,42.3,15.6,5.4,44.6
22400011,2024-11-15 19:00:00+00:00,Toronto,Raptors,1610612761,Detroit,Pistons,1610612765,95,99,1610612765,Regular Season,19245.0,643.0,Emirates NBA Cup,East Group B,0.0,22400011,1610612761,29.7,4.2,8.2,0.46130000000000004,0.33259999999999995,0.736,44.4,15.0,-7.4,58.0,22400011,1610612765,25.0,6.0,5.4,0.4659999999999999,0.3516,0.7492,48.1,16.4,-0.9,49.0
22400010,2024-11-15 19:00:00+00:00,Orlando,Magic,1610612753,Philadelphia,76ers,1610612755,98,86,1610612753,Regular Season,17843.0,1000125.0,Emirates NBA Cup,East Group A,0.0,22400010,1610612753,24.6,6.2,8.7,0.4373,0.2752,0.806,42.9,14.1,2.7,48.0,22400010,1610612755,21.4,3.7,9.0,0.433,0.3207999999999999,0.7803,39.1,13.8,-7.3,42.8
22400009,2024-11-15 19:00:00+00:00,Indiana,Pacers,1610612754,Miami,Heat,1610612748,111,124,1610612748,Regular Season,17274.0,1000063.0,Emirates NBA Cup,East Group B,0.0,22400009,1610612754,27.3,4.2,7.4,0.4819,0.3738,0.7468,40.2,13.2,-3.6,51.6,22400009,1610612748,25.4,4.5,9.9,0.44320000000000004,0.3882,0.7513,43.0,11.9,-1.0,45.0
22400015,2024-11-15 19:30:00+00:00,San Antonio,Spurs,1610612759,Los Angeles,Lakers,1610612747,115,120,1610612747,Regular Season,18916.0,1000118.0,Emirates NBA Cup,West Group B,0.0,22400015,1610612759,27.6,6.6,7.9,0.4668000000000001,0.35409999999999997,0.8362,43.8,15.0,1.6,45.0,22400015,1610612747,28.0,4.3,7.0,0.48530000000000006,0.38689999999999997,0.7984,40.2,13.0,-0.5,51.2
22400014,2024-11-15 19:30:00+00:00,New York,Knicks,1610612752,Brooklyn,Nets,1610612751,124,122,1610612752,Regular Season,19812.0,30.0,Emirates NBA Cup,East Group A,0.0,22400014,1610612752,27.1,3.7,7.5,0.4876999999999999,0.38289999999999996,0.8039999999999999,42.7,12.0,6.3,50.2,22400014,1610612751,26.7,3.4,6.8,0.46909999999999996,0.3570000000000001,0.8170999999999999,39.9,12.8,-1.5,44.4
22400013,2024-11-15 19:30:00+00:00,Cleveland,Cavaliers,1610612739,Chicago,Bulls,1610612741,144,126,1610612739,Regular Season,19432.0,1000006.0,Emirates NBA Cup,East Group C,0.0,22400013,1610612739,28.3,4.3,9.0,0.5108999999999999,0.4048999999999999,0.7567999999999999,42.1,11.7,9.1,53.0,22400013,1610612741,28.4,4.3,7.5,0.4617,0.36940000000000006,0.7543,46.6,16.4,-5.9,46.4
22400012,2024-11-15 19:30:00+00:00,Atlanta,Hawks,1610612737,Washington,Wizards,1610612764,129,117,1610612737,Regular Season,16038.0,650.0,Emirates NBA Cup,East Group C,0.0,22400012,1610612737,29.3,4.2,10.4,0.46509999999999996,0.3432,0.7626999999999999,42.8,15.2,-6.9,56.4,22400012,1610612764,25.5,6.6,8.5,0.4444,0.31980000000000003,0.7988,41.0,15.0,-13.2,48.8
22400017,2024-11-15 20:00:00+00:00,New Orleans,Pelicans,1610612740,Denver,Nuggets,1610612743,101,94,1610612740,Regular Season,16137.0,160.0,Emirates NBA Cup,West Group C,0.0,22400017,1610612740,23.6,4.7,7.3,0.441,0.34650000000000003,0.7895,42.2,14.5,-13.7,43.8,22400017,1610612743,30.7,5.0,8.6,0.4786,0.41,0.7786000000000001,47.0,13.8,2.9,52.8
22400018,2024-11-15 20:00:00+00:00,Oklahoma City,Thunder,1610612760,Phoenix,Suns,1610612756,99,83,1610612760,Regular Season,18203.0,1000052.0,Emirates NBA Cup,West Group B,0.0,22400018,1610612760,26.2,6.6,12.8,0.4737,0.3887,0.8218,40.1,11.1,11.8,46.8,22400018,1610612756,25.8,5.5,7.2,0.45999999999999996,0.3682000000000001,0.7792,45.1,11.2,1.0,40.4
22400016,2024-11-15 20:00:00+00:00,Houston,Rockets,1610612745,Los Angeles,Clippers,1610612746,125,104,1610612745,Regular Season,18055.0,215.0,Emirates NBA Cup,West Group A,0.0,22400016,1610612745,21.7,5.5,8.1,0.44349999999999995,0.3067,0.7636999999999999,48.9,12.2,4.7,52.2,22400016,1610612746,25.1,4.8,8.5,0.46880000000000005,0.4035000000000001,0.7548,45.2,15.4,0.6,47.4
22400019,2024-11-15 22:00:00+00:00,Golden State,Warriors,1610612744,Memphis,Grizzlies,1610612763,123,118,1610612744,Regular Season,18064.0,1000011.0,Emirates NBA Cup,West Group C,0.0,22400019,1610612744,29.3,5.9,9.6,0.47519999999999996,0.38689999999999997,0.7218,47.5,12.8,8.6,49.8,22400019,1610612763,31.0,6.9,8.5,0.5027,0.3563,0.7861,48.4,16.4,11.6,63.0
22400020,2024-11-15 22:00:00+00:00,Sacramento,Kings,1610612758,Minnesota,Timberwolves,1610612750,126,130,1610612750,Regular Season,16478.0,609.0,Emirates NBA Cup,West Group A,0.0,22400020,1610612758,24.7,4.9,8.5,0.49350000000000005,0.3108000000000001,0.8297000000000001,44.9,13.3,5.4,50.4,22400020,1610612750,26.1,5.2,9.0,0.4796,0.37650000000000006,0.7966,40.7,15.9,3.7,46.4
22400021,2024-11-19 19:00:00+00:00,Boston,Celtics,1610612738,Cleveland,Cavaliers,1610612739,120,117,1610612738,Regular Season,19156.0,17.0,Emirates NBA Cup,East Group C,0.0,22400021,1610612738,25.9,5.2,7.5,0.4556,0.34959999999999997,0.8179000000000002,43.5,12.4,8.3,42.8,22400021,1610612739,28.4,4.6,8.0,0.5174999999999998,0.4222,0.7948999999999999,43.2,12.5,9.3,52.2
22400022,2024-11-19 19:30:00+00:00,Brooklyn,Nets,1610612751,Charlotte,Hornets,1610612766,116,115,1610612751,Regular Season,18117.0,461.0,Emirates NBA Cup,East Group A,0.0,22400022,1610612751,26.5,3.0,6.4,0.46109999999999995,0.3657,0.8140000000000001,38.3,12.6,-3.5,40.4,22400022,1610612766,24.2,4.4,8.1,0.4309,0.34840000000000004,0.7737999999999999,44.6,14.2,-6.0,42.4
22400023,2024-11-19 20:00:00+00:00,Memphis,Grizzlies,1610612763,Denver,Nuggets,1610612743,110,122,1610612743,Regular Season,15377.0,242.0,Emirates NBA Cup,West Group C,0.0,22400023,1610612763,28.8,7.6,8.8,0.4892,0.3355,0.8182,48.1,16.3,11.6,61.2,22400023,1610612743,30.7,4.5,8.1,0.4869,0.41089999999999993,0.7861999999999999,45.3,13.4,2.7,54.2
22400024,2024-11-19 20:30:00+00:00,Dallas,Mavericks,1610612742,New Orleans,Pelicans,1610612740,132,91,1610612742,Regular Season,20077.0,193.0,Emirates NBA Cup,West Group C,0.0,22400024,1610612742,25.0,4.8,7.1,0.49729999999999996,0.33119999999999994,0.7676000000000001,43.2,13.6,4.1,56.0,22400024,1610612740,23.4,4.2,7.1,0.4284,0.3473,0.8067,44.5,13.8,-9.5,41.8
22400025,2024-11-19 21:30:00+00:00,San Antonio,Spurs,1610612759,Oklahoma City,Thunder,1610612760,110,104,1610612759,Regular Season,16667.0,1000118.0,Emirates NBA Cup,West Group B,0.0,22400025,1610612759,28.5,6.8,8.3,0.46380000000000016,0.3558,0.8323,42.2,13.5,1.1,43.0,22400025,1610612760,25.8,6.4,11.4,0.46719999999999995,0.36550000000000005,0.8422000000000001,39.9,10.7,9.6,47.0
22400026,2024-11-19 22:30:00+00:00,Los Angeles,Lakers,1610612747,Utah,Jazz,1610612762,124,118,1610612747,Regular Season,18997.0,1000069.0,Emirates NBA Cup,West Group B,0.0,22400026,1610612747,26.6,4.1,7.2,0.47359999999999997,0.369,0.7926,40.4,12.0,-0.6,50.4,22400026,1610612762,24.6,4.2,7.7,0.4612,0.3522,0.8126999999999999,42.0,17.4,-9.5,46.4
22400028,2024-11-22 19:00:00+00:00,Washington,Wizards,1610612764,Boston,Celtics,1610612738,96,108,1610612738,Regular Season,20385.0,77.0,Emirates NBA Cup,East Group C,0.0,22400028,1610612764,25.1,5.9,8.5,0.4525,0.33040000000000014,0.7628999999999999,41.3,14.6,-15.5,50.0,22400028,1610612738,26.8,5.1,6.8,0.46640000000000004,0.36999999999999994,0.8087000000000002,42.6,12.3,8.9,42.0
22400027,2024-11-22 19:00:00+00:00,Philadelphia,76ers,1610612755,Brooklyn,Nets,1610612751,113,98,1610612755,Regular Season,19817.0,419.0,Emirates NBA Cup,East Group A,0.0,22400027,1610612755,22.8,3.6,9.5,0.43689999999999996,0.325,0.808,38.9,13.8,-9.4,42.6,22400027,1610612751,26.9,3.6,6.2,0.4593000000000001,0.37300000000000005,0.7997,38.5,12.4,-4.7,40.4
22400032,2024-11-22 19:30:00+00:00,New Orleans,Pelicans,1610612740,Golden State,Warriors,1610612744,108,112,1610612744,Regular Season,16820.0,160.0,Emirates NBA Cup,West Group C,0.0,22400032,1610612740,22.4,3.9,7.4,0.4253,0.3382,0.8171000000000002,42.7,15.0,-15.6,41.0,22400032,1610612744,30.1,5.6,8.7,0.4709,0.3812999999999999,0.6763999999999999,48.9,14.0,6.0,50.4
22400030,2024-11-22 20:00:00+00:00,Chicago,Bulls,1610612741,Atlanta,Hawks,1610612737,136,122,1610612741,Regular Season,19979.0,66.0,Emirates NBA Cup,East Group C,0.0,22400030,1610612741,28.9,4.8,7.8,0.4755000000000001,0.37750000000000006,0.8238,41.9,15.3,-9.8,46.8,22400030,1610612737,29.8,5.3,10.3,0.4584999999999999,0.3402,0.7642,46.3,16.1,-3.6,56.4
22400029,2024-11-22 20:00:00+00:00,Milwaukee,Bucks,1610612749,Indiana,Pacers,1610612754,129,117,1610612749,Regular Season,17341.0,642.0,Emirates NBA Cup,East Group B,0.0,22400029,1610612749,23.9,5.9,7.9,0.4795,0.39030000000000004,0.6841,43.9,12.3,2.9,45.4,22400029,1610612754,26.5,4.7,7.9,0.4918,0.3839,0.796,38.3,13.1,-3.8,51.8
22400031,2024-11-22 20:00:00+00:00,Houston,Rockets,1610612745,Portland,Trail Blazers,1610612757,116,88,1610612745,Regular Season,15546.0,215.0,Emirates NBA Cup,West Group A,0.0,22400031,1610612745,23.7,6.0,9.5,0.46560000000000007,0.3117,0.7531000000000001,52.7,12.8,11.8,58.8,22400031,1610612757,21.5,6.2,10.1,0.44349999999999995,0.3402,0.7517,42.6,16.9,-7.8,50.0
22400033,2024-11-22 22:00:00+00:00,Denver,Nuggets,1610612743,Dallas,Mavericks,1610612742,120,123,1610612742,Regular Season,19923.0,1000046.0,Emirates NBA Cup,West Group C,0.0,22400033,1610612743,30.7,4.5,9.0,0.4859,0.39919999999999994,0.7697999999999999,45.4,13.6,3.7,53.6,22400033,1610612742,25.5,4.8,7.7,0.5035000000000001,0.3430999999999999,0.7776000000000001,44.3,13.7,8.8,58.2
22400034,2024-11-22 22:30:00+00:00,Los Angeles,Clippers,1610612746,Sacramento,Kings,1610612758,104,88,1610612746,Regular Season,16228.0,1000137.0,Emirates NBA Cup,West Group A,0.0,22400034,1610612746,24.1,4.4,8.3,0.4664,0.42000000000000004,0.7997,44.2,15.1,2.2,44.4,22400034,1610612758,23.7,4.4,8.0,0.49140000000000006,0.33390000000000003,0.8224,44.0,13.8,1.5,49.8
22400035,2024-11-26 19:00:00+00:00,Washington,Wizards,1610612764,Chicago,Bulls,1610612741,108,127,1610612741,Regular Season,15921.0,77.0,Emirates NBA Cup,East Group C,0.0,22400035,1610612764,23.9,5.3,7.7,0.4468,0.3247000000000001,0.7483,42.1,15.6,-17.2,48.2,22400035,1610612741,29.3,5.7,7.5,0.49370000000000014,0.4005000000000001,0.8348000000000001,40.8,15.2,-6.6,47.6
22400036,2024-11-26 19:30:00+00:00,Miami,Heat,1610612748,Milwaukee,Bucks,1610612749,103,106,1610612749,Regular Season,19622.0,1000100.0,Emirates NBA Cup,East Group B,0.0,22400036,1610612748,24.7,3.5,10.2,0.4449000000000001,0.38370000000000004,0.7942,44.7,11.8,2.8,46.2,22400036,1610612749,24.7,6.3,8.3,0.4840000000000001,0.39130000000000004,0.6982,44.0,12.7,5.0,45.4
22400037,2024-11-26 20:00:00+00:00,Minnesota,Timberwolves,1610612750,Houston,Rockets,1610612745,111,117,1610612745,Regular Season,18978.0,61.0,Emirates NBA Cup,West Group A,0.0,22400037,1610612750,23.2,4.7,9.2,0.46580000000000005,0.37270000000000003,0.8196,41.6,14.8,3.9,46.0,22400037,1610612745,23.2,5.9,10.3,0.4412,0.314,0.7565999999999999,52.6,13.3,10.1,54.8
22400038,2024-11-26 21:00:00+00:00,Utah,Jazz,1610612762,San Antonio,Spurs,1610612759,115,128,1610612759,Regular Season,18175.0,1000106.0,Emirates NBA Cup,West Group B,0.0,22400038,1610612762,25.9,3.5,7.4,0.48369999999999996,0.3882,0.8,42.9,15.5,-3.3,50.8,22400038,1610612759,29.9,6.9,6.9,0.46480000000000016,0.36719999999999997,0.8055,43.6,14.3,1.6,41.8
22400039,2024-11-26 22:00:00+00:00,Phoenix,Suns,1610612756,Los Angeles,Lakers,1610612747,127,100,1610612756,Regular Season,17071.0,1000051.0,Emirates NBA Cup,West Group B,0.0,22400039,1610612756,25.4,3.8,7.5,0.4547,0.35960000000000003,0.7515,42.6,12.7,-6.3,41.6,22400039,1610612747,26.9,4.4,7.9,0.48519999999999996,0.3926,0.764,38.0,11.8,-0.4,50.2
22400040,2024-11-29 12:00:00+00:00,Charlotte,Hornets,1610612766,New York,Knicks,1610612752,98,99,1610612752,Regular Season,19313.0,9.0,Emirates NBA Cup,East Group A,0.0,22400040,1610612766,23.2,5.3,8.2,0.4192,0.36350000000000005,0.7557,47.7,15.9,-4.0,39.2,22400040,1610612752,30.0,4.0,6.9,0.5183,0.3731,0.8545,41.6,10.9,5.3,54.4
22400041,2024-11-29 14:30:00+00:00,Atlanta,Hawks,1610612737,Cleveland,Cavaliers,1610612739,117,101,1610612737,Regular Season,17881.0,650.0,Emirates NBA Cup,East Group C,0.0,22400041,1610612737,31.8,5.9,9.9,0.4558,0.34559999999999996,0.7717,46.3,15.6,-3.9,58.0,22400041,1610612739,28.4,4.7,9.1,0.5117999999999999,0.3964,0.8262,43.9,12.8,9.8,54.4
22400042,2024-11-29 17:00:00+00:00,Memphis,Grizzlies,1610612763,New Orleans,Pelicans,1610612740,120,109,1610612763,Regular Season,17014.0,242.0,Emirates NBA Cup,West Group C,0.0,22400042,1610612763,30.0,8.7,9.3,0.48530000000000006,0.3492,0.7954,48.8,16.3,12.4,57.0,22400042,1610612740,24.4,4.1,8.6,0.4241,0.3089,0.7393,45.1,15.0,-14.8,44.4
22400044,2024-11-29 19:30:00+00:00,Minnesota,Timberwolves,1610612750,Los Angeles,Clippers,1610612746,93,92,1610612750,Regular Season,18978.0,61.0,Emirates NBA Cup,West Group A,0.0,22400044,1610612750,22.6,4.8,9.5,0.44910000000000005,0.3428,0.8292999999999999,41.6,15.2,-1.5,45.0,22400044,1610612746,25.4,4.1,10.0,0.4668,0.36760000000000004,0.7967,46.3,14.9,2.5,50.6
22400043,2024-11-29 19:30:00+00:00,Brooklyn,Nets,1610612751,Orlando,Magic,1610612753,100,123,1610612753,Regular Season,18143.0,461.0,Emirates NBA Cup,East Group A,0.0,22400043,1610612751,26.7,3.6,5.1,0.4709,0.42210000000000003,0.8518000000000001,36.7,13.0,-3.1,35.2,22400043,1610612753,24.7,7.0,9.6,0.45450000000000007,0.3225,0.8170999999999999,41.2,12.8,10.4,47.0
22400045,2024-11-29 20:00:00+00:00,Indiana,Pacers,1610612754,Detroit,Pistons,1610612765,106,130,1610612765,Regular Season,17274.0,1000063.0,Emirates NBA Cup,East Group B,0.0,22400045,1610612754,27.3,5.5,9.3,0.48080000000000006,0.3776,0.8054,40.4,13.6,-1.4,51.6,22400045,1610612765,25.7,5.4,6.3,0.4479,0.3572,0.7447999999999999,47.2,14.9,-2.4,47.2
22400046,2024-11-29 20:00:00+00:00,Miami,Heat,1610612748,Toronto,Raptors,1610612761,121,111,1610612748,Regular Season,19607.0,1000100.0,Emirates NBA Cup,East Group B,0.0,22400046,1610612748,25.1,3.3,9.9,0.4499000000000001,0.3738,0.8119,42.8,12.1,1.0,45.6,22400046,1610612761,26.3,4.5,7.4,0.44819999999999993,0.3436,0.6913,48.3,14.8,-1.7,52.4
22400047,2024-11-29 20:00:00+00:00,Chicago,Bulls,1610612741,Boston,Celtics,1610612738,129,138,1610612738,Regular Season,19798.0,66.0,Emirates NBA Cup,East Group C,0.0,22400047,1610612741,29.2,5.7,6.9,0.4932,0.39860000000000007,0.8362999999999999,41.6,15.0,-5.7,48.0,22400047,1610612738,27.7,6.0,6.3,0.46230000000000004,0.37999999999999995,0.7954000000000001,42.1,11.5,8.0,38.0
22400048,2024-11-29 22:00:00+00:00,Los Angeles,Lakers,1610612747,Oklahoma City,Thunder,1610612760,93,101,1610612760,Regular Season,18997.0,1000069.0,Emirates NBA Cup,West Group B,0.0,22400048,1610612747,27.4,5.1,7.6,0.49440000000000006,0.387,0.7809,39.4,11.9,1.6,51.6,22400048,1610612760,25.2,6.6,10.8,0.46740000000000004,0.3411,0.8294,40.9,10.8,7.5,49.2
22400049,2024-11-29 22:00:00+00:00,Portland,Trail Blazers,1610612757,Sacramento,Kings,1610612758,115,106,1610612757,Regular Season,17565.0,51.0,Emirates NBA Cup,West Group A,0.0,22400049,1610612757,21.3,7.6,9.6,0.4154,0.3317,0.7649,43.5,18.0,-10.8,45.4,22400049,1610612758,24.0,5.0,7.5,0.484,0.34520000000000006,0.7619,44.0,14.5,-2.0,47.6
22400051,2024-12-03 19:00:00+00:00,Cleveland,Cavaliers,1610612739,Washington,Wizards,1610612764,118,87,1610612739,Regular Season,19432.0,1000006.0,Emirates NBA Cup,East Group C,0.0,22400051,1610612739,27.0,4.2,8.6,0.49319999999999997,0.3892,0.8240000000000001,44.7,12.5,6.2,53.6,22400051,1610612764,23.5,4.0,7.8,0.44749999999999995,0.3247000000000001,0.7501,42.0,15.7,-16.2,49.2
